,text,labels,scores,better label(s) - Justin,Other - Justin
29,Do you know that buying sex is illegal?,['curiosity'],[0.98591655],,accountability
30,Outcall or incall?,['neutral'],[0.98541945],,
31,"pics are on the ad, new pics are only for people i know (sorry!), prices depend on what you have in mind!",['remorse' 'neutral'],[0.38172522 0.74038649],curiosity,
32,can you call?,['curiosity' 'neutral'],[0.52416652 0.85536575],neutral,
33,depends...u got roses?,['curiosity' 'neutral'],[0.72811335 0.79726303],,
34,what u into?,['curiosity' 'neutral'],[0.54935718 0.77726936],,
35,I am glad you know about it now.  I expect you will behave better and there won't be a next time.,['caring' 'joy'],[0.46616173 0.60624087],caring,also accountability
36,What beer company and what do you do for them?,['curiosity'],[0.98937196],,
37,Why go there?,['neutral'],[0.99532521],curiosity,
38,are you still with me paul?,['curiosity' 'neutral'],[0.58921564 0.88034892],,
39,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
40,wanna play?,['neutral'],[0.99226576],,
41,?? I'm just trying to have some conversations and see where people's heads are at on this.,['curiosity'],[0.97704917],,
42,Please go to www.sabayarea.org and www.sexhelp.com/am-i-a-sex-addict. Please see women as humans not objects for sale. You can do this. Thank you.,['gratitude'],[0.99729013],,"caring, accountability"
43,$$,['neutral'],[0.99391949],,
44,hangin out 4 u,['neutral'],[0.99857962],,
45,:)?,['neutral'],[0.98648375],,
46,Please look at www.lpnp.org. Please see women as humans not objects for sale. You can do this. You are not alone.,['caring'],[0.97860718],,"caring, accountability"
47,are you aware of that???,['curiosity'],[0.69762993],,
48,I'm done ,['annoyance'],[0.64827687],,
49,do you understand?,['confusion' 'curiosity'],[0.59036869 0.5860163 ],curiosity,
50,attempt again... I will move for better reception... sowwiie,['neutral'],[0.98991442],,
51,hey urself,['neutral'],[0.99814785],,
52,Lookin for in/ out?,['neutral'],[0.99513972],,
53,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,accountability
54,Amazing! Please tell me just one girls story,['admiration'],[0.90544182],"curiosity, admiration",
55,hiya,['neutral'],[0.98521566],,
56,no one perfect on this side,['neutral'],[0.99741238],,humility
57,when,['neutral'],[0.99810553],,
58,call for rates,['neutral'],[0.99852437],,
59,no scare here,['neutral'],[0.99629349],,humility
60,what do'nt understand?,['confusion' 'neutral'],[0.86432672 0.4861449 ],,
61,Are you really down that bad dude?,['caring' 'curiosity'],[0.93298572 0.92461395],anger,
62,call me,['neutral'],[0.998519],,
63,I was thinking maybe 6 to 12 ,['neutral'],[0.99782795],,
64,"So, Are you aware that many of the girls who get involved in prostitution are minors?",['curiosity'],[0.99483103],,"curiosity, accountability"
65,You?,['neutral'],[0.95530784],,
66,call me?,['neutral'],[0.99835145],,
67,hi,['neutral'],[0.99837238],,
68,What are you into?,['neutral'],[0.98278254],,
69,hey u wouldnt take advantage of me now,['optimism'],[0.44144964],annoyance,
70,"You don't have to offer.  You just have to solicit, which is exactly what you did.  Your information is available for police follow up. Have a great night.",['neutral'],[0.99118477],anger,
71,We want guys to be aware of that and make better choices that don't harm or hurt these women.,['desire' 'realization' 'neutral'],[0.31030908 0.82426584 0.81813204],,accountability
72,how much u hav?,['curiosity'],[0.52582073],,
73,mission valley right now,['neutral'],[0.99787903],,
74,oh yeah u like that? hehe ur cute,['admiration' 'amusement'],[0.49104971 0.95805871],,Flirtatious
75,u got roses?,['curiosity'],[0.92496055],,
76,yes how are you?,['curiosity' 'neutral'],[0.3895129  0.63182271],,
77,Fast easy money for their pimps.  All the girls get is abuse if they don't give their daily quota to their pimp,['neutral'],[0.99608934],,accountability
78,do you like to work out?,['curiosity' 'neutral'],[0.82765132 0.71042454],,
79,sure... ,['neutral'],[0.99788243],,
80,i could what r u lookn 4?,['curiosity'],[0.96660477],,
81,that's really kind. you seem very nice. find a nice young lady to spend time with. I don't think you understand what I do.,['admiration'],[0.99668401],"caring, annoyance",
82,How are you doing?,['curiosity' 'neutral'],[0.46923742 0.83925533],,
83,It's hella stressful right now.  Things are crazy now.,['disappointment' 'sadness'],[0.35825431 0.96707791],fear,
84,Do you know that most of the girls behind these ads are doing so against their will and many are minors?,['curiosity'],[0.96874142],,accountability
85,sorry i m in mid of finishing,['remorse'],[0.94917184],,
86,If it were just a physical need you'd be able to take care of it yourself. So I think there's more to it than that.,['caring'],[0.98760611],disapproval,
87,giv me a call? :D,['neutral'],[0.99627858],,
88,in / out hr/hhr?,['neutral'],[0.99755114],,
89,give me a call,['neutral'],[0.99792153],,
90,"sir, you were asking for rates",['neutral'],[0.99784458],caring,and accountability
91,Yeah been doing this for awhile. Did you know is another source of satisfaction in life apart from sex on the side?,['approval' 'curiosity'],[0.63890344 0.95203876],curiosity,
92,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
93,still there?,['confusion' 'curiosity' 'neutral'],[0.3180401  0.40569499 0.36679465],neutral,
94,whatcha lookin to do,['neutral'],[0.99692434],,
95,thank you -bye Chris,['gratitude'],[0.99493635],,
96,"Plus, you have to be careful that you're not talking to a cop or something. I'm not a cop by the way.",['caring'],[0.96869397],,
97,Please look at www.sa.org/f2f/united-states-of-america/kansas/. ,['neutral'],[0.9974457],caring,
98,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
99,"Good evening, you reached out to one of our prostitution ads back in September. Just wanted to check in and see how you were doing and if you've had the compulsion to buy since then?",['curiosity' 'neutral'],[0.9464981 0.4778212],"caring, curiosity",
100,call me up ,['neutral'],[0.99795169],,
101,pics r on my ad,['neutral'],[0.99835372],,
102,call me to set somthing up,['neutral'],[0.99852473],,
103,So this isn't actually Alexa.\n Iâ€™m working with a bunch of guys who are trying to interrupt demandfor victims of trafficking and Iâ€™m wondering if you would be willing to help us out?,['curiosity'],[0.98242086],,
104,hey are you going to call or not,['neutral'],[0.98696238],annoyance,
105,Please look at sa-detroit.com. Please see women as humans not objects for sale. You can do this.,['approval' 'neutral'],[0.87798005 0.59427202],caring,and accountability
106,How long? what do u have in mind?,['neutral'],[0.99007833],,
107,free in a bit U?,['neutral'],[0.96257442],,
108,Does any of this bother you as much as it does me?,['curiosity' 'neutral'],[0.3464857  0.70851058],curiosity,and accountability
109,Still with me? Did you miss the cooperation portion above perhaps?,['curiosity' 'neutral'],[0.89070082 0.78840983],disapproval,
110,Hahaha sorry I was away from my phone,['amusement' 'remorse'],[0.91798174 0.60703474],,
111,the phone call dropped ! call again :),['annoyance' 'neutral'],[0.38564187 0.90175843],,
112,how quick are we talking ;),['curiosity'],[0.92805117],,
113,why dont you call me and we can discuss,['neutral'],[0.99663383],,
114,call and i'll give you the details <3,['neutral'],[0.9808172],,
115,I'm mobile,['neutral'],[0.99851435],,
116,whatcha lookin 4  me cumming to u or u to me,['neutral'],[0.99474621],,
117,where would we go,['curiosity' 'neutral'],[0.64311993 0.52747148],,
118,"Not here to bust you, just help you: Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?",['curiosity' 'neutral'],[0.49224484 0.93994629],caring,and accountability
119,wow...no hi or anything.   I am how u hon,['surprise'],[0.94780803],annoyance,
120,Hopefully you will take all this to heart and be a better man for it. Good evening.,['optimism'],[0.96495271],,
121,im gourgeous,['annoyance'],[0.96209687],neutral,
122,are you aware of that?,['curiosity' 'realization'],[0.53348601 0.30921108],,
123,I'll send you some stuff but want to send you some relevant stuff. ,['neutral'],[0.93883783],caring,
124,Wow u r brave...lots of scary girls on here. Luckily I'm NOT one of them:) ,['admiration' 'surprise'],[0.88604105 0.95555055],,sarcastic
125,"Yeah, it really, really does some times.",['approval' 'neutral'],[0.64926672 0.93864566],,
126,hey baby,['neutral'],[0.97736788],,
127,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
128,So what are you looking for that a robot cannot provide?,['curiosity' 'neutral'],[0.85243481 0.65547913],,
129,cool. i love to travel,['love'],[0.99360365],approval,
130,I am not a cop.,['disapproval' 'neutral'],[0.96830755 0.63361448],neutral,
131,"many of them are being trafficked, and it's because guys like you are willing to pay to have sex with them. ",['neutral'],[0.99609536],disgust,
132,Nope... \nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['curiosity' 'neutral'],[0.6472261  0.93170261],,accountability
133,hey baby,['neutral'],[0.97736788],,
134,"Thanks, have a good night.",['gratitude'],[0.99657035],,
135,you still there?,['curiosity' 'neutral'],[0.80156249 0.30979806],neutral,
136,gimme a call,['neutral'],[0.99885774],,
137,still interested ?,['curiosity'],[0.98548359],neutral,
138,You are better than this!,['admiration' 'approval'],[0.62984532 0.98096037],,
139,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.,['neutral'],[0.99864322],,accountability
140,One last thing. Please consider checking out an SAA group in your area. https://saa-recovery.org/\n\nYou were lucky you called me and not a cop.\n,['neutral'],[0.99818498],disapproval,
141,you looking for lacy?,['curiosity'],[0.98156559],neutral,
142,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
143,"Typically, the average age of entry is 12-14 years old. And there is no way to know whether she's there of her own free will",['neutral'],[0.99552453],,accountability
144,r u lookin for fs?,['curiosity'],[0.98268259],neutral,
145,I like fun... ??  give me shout,['curiosity' 'excitement' 'joy' 'love'],[0.50752747 0.39094907 0.33445594 0.6993562 ],neutral,
146,I hear ya. i\n could use some myself,['neutral'],[0.99527317],approval,
147,They don't get to keep the money you know?,['neutral'],[0.94618571],,accountability
148,wat u want,['neutral'],[0.99544734],,
149,awesome. are you aware that buying sex is illegal?,['admiration' 'curiosity'],[0.97230703 0.34766856],,
150,hey,['neutral'],[0.99347407],,
151,make sense?,['neutral'],[0.99449581],,
152,hello...again lol!,['amusement'],[0.98907381],,
153,gimme a call :),['neutral'],[0.99869746],,
154,So you wield your money as power? As a means of control?\n ,['curiosity'],[0.99320674],,
155,"Good stuff.  Anyway, I have to go.  It was good speaking with you and I hope you have an amazing rest of your weekend!",['admiration' 'optimism'],[0.97715604 0.94778788],,
156,sure thing babe. you got roses?,['curiosity'],[0.95933515],,
157,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
158,please give me more than ????? ,['neutral'],[0.98200202],,
159,still there?,['confusion' 'curiosity' 'neutral'],[0.3180401  0.40569499 0.36679465],neutral,
160,be careful texting while you drive dude :),['caring'],[0.9952572],,
161,i am ,['neutral'],[0.99878258],,
162,I want to assist you to be a better man. Do you have friends and family you can get support from?,['caring' 'curiosity'],[0.99316061 0.4962762 ],,
163,???,['neutral'],[0.99602991],,
164,well thanks! what are you looking for tonight? ;),['curiosity' 'gratitude'],[0.86541915 0.95522779],,
165,works just fine. what you looking for?,['approval' 'curiosity'],[0.43983939 0.753317  ],neutral,
166,incall/outcall?,['neutral'],[0.99509603],,
167,"yep, what you looking for tonight",['neutral'],[0.88173509],,
168,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99078172],,accountability
169,"Hey Vince, you particularly like car play?  What's in it for me?",['curiosity' 'neutral'],[0.58043116 0.87007445],,
170,near the airport,['neutral'],[0.99886811],,
171,"nothing about the ad you responded to was about food man, don't kid yourself",['annoyance' 'neutral'],[0.86169511 0.37156186],annoyance,and accountability
172,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
173,wat u lookin for?,['curiosity'],[0.95800817],neutral,
174,near the airport; $90 hhr,['neutral'],[0.9949668],,
175,"If I sent you this thing that I think has been helpful at showing people what life is really like for me, would you look at it?",['curiosity'],[0.97175276],"caring, curiosity",
176,do you want everlasting joy?,['curiosity'],[0.93442208],,
177,I'm happy to hear that.,['joy'],[0.99129021],,
178,I've got to go... I'm sorry.,['remorse' 'sadness' 'neutral'],[0.47458678 0.69045973 0.55537301],,
179,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,accountability
180,hey! what were you looking for?,['curiosity' 'neutral'],[0.90772885 0.31665266],neutral,
181,what did you want?,['confusion' 'curiosity' 'neutral'],[0.31228837 0.38479081 0.46615621],neutral,
182,u there?,['curiosity'],[0.95718277],neutral,
183,hi,['neutral'],[0.99837238],,
184,fs?,['neutral'],[0.99479634],,
185,What you sellin?,['curiosity' 'neutral'],[0.53984487 0.53118253],neutral,
186,Wait is that your name?,['curiosity'],[0.99329412],,
187,Hii =) ,['neutral'],[0.99780959],,
188,where u at? what wud u like?,['curiosity'],[0.98292774],neutral,
189,"dont care about that, i care about you. ",['caring'],[0.99141461],,
190,do you believe in someone/something?,['confusion' 'curiosity' 'neutral'],[0.45108095 0.75383407 0.48508221],curiosity,
191,"Well Kirk, your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?\n",['neutral'],[0.99659652],,accountability
192,looks like I scared you away.  Please think about what you are doing  - I know there's a good man in there,['admiration' 'fear'],[0.4758943  0.96564943],approval,and accountability
193,Heyyy what's up?\n,['curiosity' 'neutral'],[0.89892787 0.57397604],neutral,
194,"Actually, you should know that I'm Mike. Stacy is not real. I work with some guys who are trying to interrupt demand for victims of trafficking.",['neutral'],[0.99899358],,humility
195,Where just trying to help guys stop making would could be a life altering huge mistake. What sex I am doesn't really matter.,['disapproval'],[0.98251015],"caring, disapproval",
196,now,['neutral'],[0.99686146],,
197,"Stay away from these ads, and have a great weekend!",['anger'],[0.88793361],disapproval,
198,Su nÃºmero ahora estÃ¡ registrado intentando comprar sexo por la red y estÃ¡ disponible para seguimiento policial. Se han hecho arrestos. Se tomarÃ¡ en cuenta su cooperaciÃ³n.,['neutral'],[0.99433053],,
199,we both know what you wanted in response to the ad.,['neutral'],[0.99699485],annoyance,
200,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99078172],,accountability
201,100,['neutral'],[0.99779415],,
202,what do you have in mind?,['neutral'],[0.99853003],,
203,what u lookin for?,['curiosity'],[0.92727435],,
204,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
205,"call me, we can talk bout it :)",['neutral'],[0.99874252],,
206,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
207,What do you do for work?,['curiosity'],[0.98454261],,
208,hey,['neutral'],[0.99347407],,
209,Hello! Available any time. ,['neutral'],[0.99811482],,
210,hi there,['neutral'],[0.99871933],,
211,srry. away from phone. Hi :),['neutral'],[0.99229103],,
212,i em,['neutral'],[0.99827111],,
213,hhr $70,['neutral'],[0.99793768],,
214,"The business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",[],[],,accountability
215,heyyy,['neutral'],[0.91218734],,
216,so no?,['neutral'],[0.9518829],,
217,"are you still there, or shall I mark you down as uncooperative?",['confusion' 'curiosity'],[0.68387371 0.9649446 ],,
218,"If the demand for something ends, so will the supply. ",['neutral'],[0.95673901],,accountability
219,I'm not sure I'll be able to with the pimp.,['confusion'],[0.98836201],,
220,And remember any response will be noted.Ok please dont call these sites. Be a better man than those cretins abusing women. Good evening..,['annoyance'],[0.63561434],caring,and accountability
221,do you really know what you're doing out here is my question,['curiosity'],[0.99390101],disapproval,
222,hey,['neutral'],[0.99347407],,
223,"These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['realization' 'neutral'],[0.49588212 0.4603883 ],,accountability
224,hey,['neutral'],[0.99347407],,
225,Si,['neutral'],[0.99905497],,
226,let me know what u  really want? :),['curiosity'],[0.98325473],,
227,whatevs,['neutral'],[0.99880004],,
228,not interested in dinner...,['disapproval'],[0.92691308],,
229,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,accountability
230,"i ask you to read up on prostitution, human trafficking and how this ""job"" effects the women.  ",['curiosity'],[0.98110563],,accountability
231,Who's this?,['confusion' 'neutral'],[0.40597907 0.31900507],,
232,Location near 22 & Hayes,['neutral'],[0.99879104],,
233,still there?,['confusion' 'curiosity' 'neutral'],[0.3180401  0.40569499 0.36679465],neutral,
234,whats up,['neutral'],[0.99560058],,
235,Well this isn't Jennifer.  But I was wondering if you'd be willing to have a quick conversation. ,['curiosity' 'surprise'],[0.90468961 0.59814984],optimism,
236,hey bby! how can i help u??,['curiosity' 'neutral'],[0.83654046 0.30835107],neutral,
237,"Never said you were.... \nIf you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['neutral'],[0.33954898],,accountability
238,You texted me.  I;m glad you reached out.  What brought you to look on these sites? I/m not here to judge,['curiosity' 'joy'],[0.30939791 0.40165254],,humility
239,well wut u lookin 4 tonight?,['curiosity' 'surprise'],[0.82596028 0.79025656],neutral,
240,where u at,['neutral'],[0.99870384],,
241,in call or out?,['neutral'],[0.98263758],,
242,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,accountability
243,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
244,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
245,it's pretty good. how about you?,['admiration' 'curiosity'],[0.92426848 0.72966903],curiosity,
246,"Okay if I pray with you, too? What's your first name?",['curiosity' 'neutral'],[0.9402529  0.49198848],"caring, optimism",
247,Put your friend on then.,['neutral'],[0.99852884],,
248,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,accountability
249,whre u,['anger' 'neutral'],[0.87086535 0.45221514],neutral,
250,"I know the ads paint a very different picture, but what goes on behind the ads is very dark, can I tell you more about it?",['confusion' 'curiosity'],[0.33968598 0.98863566],,humility
251,how long r u wanting?,['curiosity'],[0.95367962],neutral,
252,ok,['neutral'],[0.99598974],,
253,depends how long,['neutral'],[0.99825662],,
254,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,accountability
255,Haha...All of the Above!,['amusement'],[0.98122978],,
256,you got the roses?,['curiosity'],[0.9903025],,
257,hey,['neutral'],[0.99347407],,
258,"Hey, how it goin?",['neutral'],[0.98913682],,
259,"That sounds really difficult man. I'm sorry your in that situtation. When I surrendured my life to Jesus I experienced his unconditional love and forgiveness. Rebuilding relationships takes time, but I've seen it happen when guys go to rehab and start doing things God's way",['realization' 'sadness'],[0.55636716 0.35291791],"sadness, optimism",
260,i am what are u lookin 4,['neutral'],[0.95447087],,
261,You still there,['neutral'],[0.99779272],,
262,thats it?,['curiosity'],[0.98424983],neutral,
263,"The business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.",['anger'],[0.46827781],,accountability
264,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
265,Hey baby,['neutral'],[0.95585102],,
266,Did you know that buying sex is illegal?,['curiosity'],[0.98552579],,and accountabilituy
267,ah that's too bad. i'm just hoping to know how you are. we're judgement free.,['curiosity'],[0.96749318],sadness,and humility
268,Were you aware of that?,['curiosity' 'realization'],[0.73868245 0.53019536],curiosity,
269,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,accountability
270,okay...where in Redford am I going?,['curiosity'],[0.95671248],neutral,
271,hellllo,['neutral'],[0.99793458],,
272,"So Brittany is not here right now, but I was wondering if you would be willing to have a conversation with me? It would really help me out!",['curiosity'],[0.98061442],,
273,Stay with don't cut off this text - its important you stay with me,['caring'],[0.97235888],,
274,"The business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",[],[],,accountability
275,incall or outcall?,['confusion' 'neutral'],[0.36814889 0.94697112],neutral,
276,"The business of prostitution is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.33534405],,accountability
277,what are u lookn 4,['neutral'],[0.98476011],,
278,Wowwww. Bye.,['excitement' 'surprise'],[0.84096724 0.74281251],disgust,
279,Cost will be worth it...,['neutral'],[0.97342539],,
280,I am glad to hjear that. Have a nice night.,['caring' 'gratitude'],[0.8709982  0.56314188],,
281,what ya looking for?,['curiosity'],[0.94230372],,
282,"Look brother, I'm just asking you to consider that it might not be a good thing. Even it it were legal.",['approval' 'caring'],[0.42103031 0.41764754],annoyance,
283,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,accountability
284,Hey! U still there?,['curiosity' 'neutral'],[0.75910747 0.59639955],neutral,
285,"I'm not.  Not exactly what you expected, but I'm a guy trying to help out other guys.  Sorry to not be what you are looking for tonight.",['caring' 'remorse'],[0.74811178 0.90250313],,
286,"hey kevin, im doin great.  whatcha up to",['admiration'],[0.97747886],,
287,hi hunk,['neutral'],[0.99829465],,
288,You too.Don't forget what a good man you are.,['admiration' 'neutral'],[0.762119   0.87227321],approval,
289,Maybe. What'd you have in mind?,['neutral'],[0.98022562],,
290,im sure you dont.,['approval' 'neutral'],[0.95317143 0.52313769],,
291,"That's me, what's up?",['curiosity' 'neutral'],[0.42955792 0.65989983],neutral,
292,heyy how r u?,['curiosity'],[0.91837299],neutral,
293,What exactly are you looking for?,['curiosity'],[0.96913159],neutral,
294,Good night and God bless you,['caring'],[0.88251281],,
295,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.,['neutral'],[0.99864322],,accountability
296,yep,['neutral'],[0.99832505],,
297,"With men buying women? Um, yes. Where else would it be?",['curiosity'],[0.97978503],annoyance,
298,u didn't see my ad? howd you find my number?,['curiosity' 'neutral'],[0.53200835 0.66393751],,
299,"I'm up for it, U got roses?",['neutral'],[0.95850384],,
300,"no, just work is a lot more stressful wit everything",['sadness'],[0.97904563],,
301,hey,['neutral'],[0.99347407],,
302,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,accountability
